Song Title,Artist,Album,BPM,Key,Aggression,Happiness,Soul,Chaos,Chill,Danceability,Singability,Intimate,Vibe
Everlong,Foo Fighters,The Colour and Shape,,,0,4,7,7,8,2,8,4,-4
Limbo,Freddie Dredd,Freddie's Inferno,,,,,,,,,,,
End of It,Friday Pilots Club,End of It,101,E Minor,5,5,3,5,5,6,6,4,10
Runaway (U & I),Galantis,Pharmacy,126,C# Major,0,8,6,5,6,8,0,0,25
Black Hills,Gardens & Villa,Gardens & Villa,108,Bb Minor,2,3,7,3,8,6,4,4,-26
"Think Of Me Once In A While, Take Care",Gavin Blakely,Agony,71,Eb Major,2,0,8,0,7,0,0,1,-20
No Love/No One,Gideon,No Love/No One,137,C# Major,8,2,1,4,0,7,0,0,-46
It’s All So Incredibly Loud,Glass Animals,Dreamland,107,C# Minor,4,0,8,6,3,2,5,2,-37
Flip,Glass Animals,ZABA,128,B Minor,6,6,8,7,3,2,8,6,45
Gooey,Glass Animals,ZABA,91,B Minor,2,8,7,4,9,2,7,7,17
Pork Soda,Glass Animals,How To Be A Human Being,96,G Major,3,7,7,3,9,7,6,3,16
Life Itself,Glass Animals,How To Be A Human Being,112,C# Major,4,6,6,5,7,8,7,3,4
Toes,Glass Animals,ZABA,73,C# Minor,0,7,5,3,7,4,7,10,20
Take A Slice,Glass Animals,How To Be A Human Being,,,,,,,,,,,
Dust In Your Pocket,Glass Animals,Leaflings,,,,,,,,,,,
The Bottom 2,Glorb,Single,,,,,,,,,,,
Rhinestone Eyes,Gorillaz,Plastic Beach,93,Ab Minor,2,7,6,5,8,7,6,1,12
Feel Good Inc.,Gorillaz,Demon Days,139,F# Major,6,7,6,7,6,7,8,1,23
Somebody That I Used To Know,Gotye,Making Mirrors,129,C Major,6,7,8,4,7,2,9,1,17
Drones,grandson,Single,,,,,,,,,,,
Genesis2,Grimes,Visions,166,Bb Minor,5,6,4,7,4,6,6,0,0
Oblivion,Grimes,Visions,156,D Major,5,7,7,6,8,7,5,1,24
White Wine Red Lies,Hairu Tokyo,Red Wine and White Lies,,,,,,,,,,,
Whiplash,Hank Levy,Whiplash,,,,,,,,,,,
Fine Line,Harry Styles,Fine Line,121,D Major,,,,,,,,,
Crazy On You,Heart,Single,,,,,,,,,,,
Cryptic Captions,Hippie Sabotage,Floating Palace,,,,,,,,,,,
Vroom,Hoodie Allen,Single,,,,,,,,,,,
Too Sweet,Hozier,Unheard,,,,,,,,,,,
Gold,Imagine Dragons,Smoke and Mirrors,,,,,,,,,,,
Obstacle 1,Interpol,Turn On The Bright Lights,,,,,,,,,,,
G.O.M.D,J. Cole,2014 Forest Hills Drive,128,E Minor,4,4,7,3,8,3,6,0,-28
She Knows,J. Cole,Born Sinner,118,C# Major,6,2,6,4,2,7,7,1,-37
Peaches,Jack Black,Single,92,Bb Minor,2,8,1,3,6,5,9,0,27
DRIVE OFF A BRIDGE,Jakey,ROMCOM,120,D Minor,7,3,8,4,1,5,10,2,-31
EVERY DAY,Jakey,ROMCOM,70,A Major,0,8,7,2,8,2,8,1,18
LIKE TOTALLY FREAK ME OUT,Jakey,ROMCOM,112,E Minor,6,7,6,6,7,4,7,1,26
PINE BARRENS,Jakey,ROMCOM,94,D Major,6,9,10,2,7,4,10,2,21
SURVIVAL HORROR,Jakey,ROMCOM,93,B Minor,7,3,8,4,7,4,8,4,-32
REEBOKS OR THE NIKES,Jakey,ROMCOM,80,G Major,0,10,9,2,9,4,7,4,20
TOMMY HANKS,Jakey,ROMCOM,88,F Major,0,9,6,7,7,2,6,4,17
FAT HEAD,Jakey,ROMCOM,79,Ab Minor,7,1,10,6,5,2,10,6,-35
10k (prod. by Rhodes),Jakey,Single,,,,,,,,,,,
Candy,Jakey,Single,,,,,,,,,,,
Jakey - Moby Dick (Slowed),Jakey,Single,,,,,,,,,,,
Not Dead Yet,Jakey,Single,,,,,,,,,,,
Pisces,Jinjer,King of Everything,140,A Minor,7,6,8,4,7,1,6,2,54
One Piece at a Time,Johnny Cash,One Piece at a Time,103,F Major,0,8,5,0,8,6,8,0,29
Like You Do,Joji,Nectar,66,Bb Major,0,1,8,1,9,7,8,8,-5
Run,Joji,Nectar,79,G Major,4,3,8,2,6,2,8,4,-23
Reanimator (feat. Yves Tumor),Joji,Nectar,121,Bb Minor,3,2,8,4,5,7,3,4,-10
Window,Joji,In Tongues,157,C# Major,2,0,8,3,8,2,6,5,-17
Ew,Joji,Nectar,114,G Minor,1,3,7,2,8,3,6,5,-14
MODUS,Joji,Nectar,132,G Major,1,2,7,2,7,11,7,5,-11
High Hopes (feat. Omar Apollo),Joji,Nectar,75,C# Minor,5,6,5,2,9,6,7,8,3
NIGHT RIDER,Joji,SMITHEREENS,,,,,,,,,,,
Down the Line (Vocal),Jose Gonzalez,In Our Nature,148,D Minor,5,3,8,6,5,1,6,5,-6
Destruction,Joywave,How Do You Feel Now?,,,,,,,,,,,
Campfire freestyle - Juice WRLD (lyrics),Juice WRLD,Single,,,,,,,,,,,
Mirrors,Justin Timberlake,The 20/20 Experience,,,,,,,,,,,
this is what heartbreak feels like,JVKE,Single,,,,,,,,,,,
High Enough,K. Flay,Every Where Is Some Where,89,C Major,5,5,5,3,7,5,5,9,-2
I Thought About Killing You,Kanye West,ye,116,D Major,7,7,9,4,6,0,8,0,30
I Wonder,Kanye West,Graduation,95,C Major,3,8,8,3,8,3,7,1,27
Blame Game,Kanye West,My Beautiful Dark Twisted Fantasy,,,,,,,,,,,
Kanye West - I Thought About Killing You ( No Switch Full Version),Kanye West,Single,,,,,,,,,,,
Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,108,Bb Minor,5,3,8,4,6,2,6,5,-4
Count Me Out,Kendrick Lamar,Mr. Morale and the Big Steppers,134,E Minor,4,6,10,4,1,1,10,1,7
Money Trees,Kendrick Lamar,"good kid, m.A.A.d. city",72,G Major,6,7,7,4,8,6,7,2,28
Savior,Kendrick Lamar,Mr. Morale and the Big Steppers,125,Ab Minor,7,3,6,5,2,6,10,1,-31
euphoria,Kendrick Lamar,Single,140,C# Major,8,6,6,6,0,7,10,0,42
Alright,Kendrick Lamar,To Pimp A Butterfly,110,G Major,6,7,4,5,2,10,10,2,40
Not Like Us,Kendrick Lamar,Single,101,C# Major,7,5,2,5,5,10,10,0,29
Crown,Kendrick Lamar,Mr. Morale and the Big Steppers,,,,,,,,,,,
Father Time,Kendrick Lamar,Mr. Morale and the Big Steppers,,,,,,,,,,,
Mother I Sober,Kendrick Lamar,Mr. Morale and the Big Steppers,,,,,,,,,,,
Rich Spirit,Kendrick Lamar,Mr. Morale and the Big Steppers,,,,,,,,,,,
United In Grief,Kendrick Lamar,Mr. Morale and the Big Steppers,,,,,,,,,,,
i,Kendrick Lamar,Single,,,,,,,,,,,
Kendrick Lamar - 6:16 in LA (Lyrics) (Drake Diss),Kendrick Lamar,Single,,,,,,,,,,,
Find Out,Khai Dreams,Find Out,145,G Major,,,,,,,,,
Solo Dolo (Nightmare),Kid Cudi,Man On The Moon,79,G Minor,2,4,8,3,7,1,7,2,-10
Alive (Nightmare),Kid Cudi,Man On The Moon,,,,,,,,,,,
Mr. Rager,Kid Cudi,Man On The Moon II,,,,,,,,,,,
Scott Mescudi Vs. The World,Kid Cudi,Man On The Moon II,,,,,,,,,,,
Freak On a Leash,Korn,Follow The Leader,,,,,,,,,,,
Right Now,Korn,Take A Look In The Mirror,,,,,,,,,,,
Wake Up,Kowloon,Single,,,,,,,,,,,
Applause,Lady Gaga,Applause,140,G Minor,3,6,7,6,6,7,6,1,27
I Belong To You,Lenny Kravitz,5,87,F Minor,1,7,6,3,8,6,7,5,7
rises the moon,liana flores,"recently,",69,F Minor,0,1,8,0,9,2,7,5,-3
I WANNA BE,Lil Darkie,Single,,,,,,,,,,,
THE WORLD IS ENDING,Lil Darkie,Single,,,,,,,,,,,
Mt. Washington,Local Natives,Hummingbird,,,,,,,,,,,
Ends of the Earth,Lord Huron,Lonesome Dream,,,,,,,,,,,
I Will Be Back One Day,Lord Huron,Lonesome Dream,,,,,,,,,,,
Dead Man's Hand,Lord Huron,Strange Trails,,,,,,,,,,,
The World Ender,Lord Huron,Strange Trails,,,,,,,,,,,
Way out There,Lord Huron,Strange Trails,,,,,,,,,,,
Secret of Life,Lord Huron,Vide Noir,,,,,,,,,,,
Writer In The Dark,Lorde,Melodrama,,,,,,,,,,,
Homemade Dynamite (Remix),Lorde,Single,,,,,,,,,,,
Perfume,Lovejoy,Pebble Brain,122,Ab Major,3,8,6,6,7,8,7,4,23
Call Me What You Like,Lovejoy,Wake Up & It's Over,,,,,,,,,,,
Portrait of a Blank Slate,Lovejoy,Wake Up & It's Over,,,,,,,,,,,
Scum,Lovejoy,Wake Up & It's Over,,,,,,,,,,,
Warsaw,Lovejoy,Wake Up & It's Over,180,F# Major,4,7,5,7,7,7,6,2,23
Missed Calls,Mac Miller,Blue Slide Park,85,F Major,2,4,7,3,8,0,6,5,-11
The Spins,Mac Miller,K.I.D.S,127,A Minor,1,10,7,5,6,10,10,0,20
Nikes on My Feet,Mac Miller,K.I.D.S,,,,,,,,,,,
Ladders,Mac Miller,Swimming,,,,,,,,,,,
Wings,Mac Miller,Swimming,,,,,,,,,,,
Congratulations (feat. Bilal),Mac Miller,The Divine Feminine,,,,,,,,,,,
We (feat. CeeLo Green),Mac Miller,The Divine Feminine,,,,,,,,,,,
Objects in the Mirror,Mac Miller,Watching Movies with the Sound Off,,,,,,,,,,,
MISS THE RAGE,Mario Judah,Single,78,Ab Major,6,8,9,9,7,3,0,0,26
Major System Error,Marmozets,Knowing What You Know Now,174,F Major,6,7,3,9,2,7,4,1,35
Misery,Maroon 5,Hands All Over,,,,,,,,,,,
Unwell,Matchbox 20,More Than You Think You Are,,,,,,,,,,,
Cringe,Matt Maeson,Cringe,126,F Major,1,3,6,2,7,2,6,5,-9
As the World Caves In,Matt Maltese,Single,,,,,,,,,,,
